entry_id,entry_name,max_dim,max_dim_value,num_not_answered
925,Rabbinic Judaism (Babylonia),dim4,0.52,0
2071,"Songs of the Sage (4Q510, 4Q511)",dim4,0.52,0
2080,Daily Communal Petitions (Tefillah/Amidah),dim4,0.52,0
2081,Ben Sira 36:1–22,dim4,0.52,0
1290,4QInstruction,dim4,0.52,2
1246,Shilluk,dim4,0.49,9
1341,Muslim Students Association of the United States and Canada,dim4,0.48,0
1367,Targums,dim4,0.48,0
1535,الجمعية الخيرية الإسلامية بمدينة سوق الأربعاء,dim4,0.48,0
1650,"كتاب"" المقدّمة ""لابن  خلدون livre  Mou qaddîma d'Abd Al Rahman Ibn Khaldoun",dim4,0.48,0
1818,(Urjuzat al-Wildan) أرجوزة الولدان,dim4,0.48,0
1928,(The gathering of the Messenger of God does not falter)وجمع رسول الله لا يتشعث,dim4,0.48,0
1991,(Laws of Sharia rulings and issues of the branches of jurisprudence.) قوانين الأحكام الشرعية ومسائل الفروع الفقهية,dim4,0.48,0
2079,(Jewels of meanings and fulfillment of wishes)جواهر المعاني و بلوغ الأماني,dim4,0.48,0
2210,Living Faith Church Worldwide,dim4,0.48,0
2272,Abou Hamid Al-Ghazali:   Le livre d'Al-Jam Al-Awam sur la science de la théologie الجام العوام عن علم الكلام,dim4,0.48,0
1308,Jews and Jewish-Sympathizers in South Arabia,dim4,0.41,3
1488,Botocudo,dim4,0.2,10
613,Maori,dim4,0.15,14
240,Late Medieval Chinese State Religion,dim4,0.13,13
610,Somali,dim4,0.12,12
600,Riffians,dim4,0.12,15
1299,Russians (of Viriatino Village),dim4,0.12,15
1390,Eastern Apache,dim4,0.12,15
590,Huayan School (Early Tang),dim4,0.09,15
2054,Christ Apostolic Church,dim5,1.0,0
2187,1 Samuel 2:1-10,dim5,1.0,0
1683,Book of Leviticus,dim5,1.0,2
2054,Christ Apostolic Church,dim5,0.99,0
1581,Book of Jeremiah,dim5,0.97,1
1961,"Grace Covenant Centre, Ado-Ekiti",dim5,0.95,0
1974,"Chapel of Grace, Ile-Ife",dim5,0.95,0
2000,"The Community Church of Apostles Nigeria and Oversea (COCANO), Ajegunle",dim5,0.95,0
2006,New Life for All Nations Ministries,dim5,0.95,0
2054,Christ Apostolic Church,dim5,0.95,0
910,Christian Base Community movement,dim5,0.93,0
978,Indonesian Catholicism,dim5,0.93,0
1013,Estado da Índia Renegades in Deccan,dim5,0.93,0
1994,Nigeria Fellowship of Evangelical Students (NIFES),dim5,0.93,0
2054,Christ Apostolic Church,dim5,0.93,0
1192,Kaharingan,dim5,0.86,0
1140,Early Medieval Confucianism,dim5,0.81,0
2277,Western Zhou Bronze Inscriptions (Xi Zhou jinwen 西周金文),dim5,0.8,5
1300,"Enlace de Agentes de Pastoral Indígena (EAPI, Network of Indigenous Ministry Agents)",dim5,0.78,0
607,Mohism,dim5,0.67,6
1051,Religion at Tell el-Dab'a (ancient Avaris) in Ancient Egypt,dim5,0.65,1
1357,Encratites,dim5,0.64,3
1872,"The Holy Apostles Community, Ayetoro",dim5,0.62,0
1940,"The Holy Apostles Community, Ori-Oke Iwamimo",dim5,0.62,0
633,Mādhva,dim5,0.54,1
1452,Soushen ji 搜神記,dim5,0.45,6
1810,Shang Oracle Bone Inscriptions,dim5,0.44,4
1098,Shuzi gua excavated material,dim5,0.31,5
637,Yahgan,dim5,0.21,6
691,Fur,dim5,0.18,13
684,Huron,dim5,0.15,10
595,Western Samoans,dim5,0.15,14
